subjects,temporal
397154.R,NODE2171
578057.R,NODE2171
616645.R,NODE2171
765056.R,NODE2171
176845.R,NODE2171
185846.L,NODE2171
195849.L,NODE2171
169444.L,NODE2172
901442.L,NODE2172
513130.L,NODE2172
536647.L,NODE2172
120111.R,NODE2172
105115.L,NODE2172
199150.L,NODE2172
107725.L,NODE2172
107018.L,NODE2172
782561.L,NODE2172
540436.L,NODE2172
101309.R,NODE2172
204319.L,NODE2172
448347.L,NODE2172
171734.L,NODE2172
217126.L,NODE2172
195041.R,NODE2172
168038.L,NODE2172
209834.L,NODE2172
146432.R,NODE2172
146331.L,NODE2172
146331.R,NODE2172
362034.L,NODE2172
153732.L,NODE2172
168947.L,NODE2172
106016.L,NODE2172
613235.L,NODE2172
150423.L,NODE2172
196144.L,NODE2172
433839.L,NODE2172
166438.L,NODE2172
195647.L,NODE2172
635245.L,NODE2172
111716.L,NODE2172
231928.L,NODE2172
341834.R,NODE2172
378756.R,NODE2172
303624.R,NODE2172
202820.R,NODE2172
680957.R,NODE2172
159441.R,NODE2172
210112.R,NODE2172
133928.R,NODE2172
163836.R,NODE2172
163836.L,NODE2172
108323.R,NODE2172
237334.R,NODE2172
352132.R,NODE2172
175136.L,NODE2172
179245.R,NODE2172
657659.R,NODE2172
156233.L,NODE2172
146634.R,NODE2172
731140.L,NODE2172
872562.L,NODE2172
162733.L,NODE2172
211215.L,NODE2172
156334.L,NODE2172
135730.R,NODE2172
137229.R,NODE2172
298455.L,NODE2172
213017.R,NODE2172
152225.R,NODE2172
679770.R,NODE2172
137936.L,NODE2172
137936.R,NODE2172
571144.L,NODE2172
884064.R,NODE2172
334635.L,NODE2172
377451.R,NODE2172
208024.L,NODE2172
395251.L,NODE2172
113417.L,NODE2172
107220.L,NODE2172
189450.L,NODE2172
570243.L,NODE2172
165234.L,NODE2172
173738.L,NODE2172
136732.L,NODE2172
197449.L,NODE2172
293748.R,NODE2172
729557.L,NODE2172
115320.R,NODE2172
186848.L,NODE2172
322224.L,NODE2172
120515.R,NODE2172
171532.R,NODE2172
171128.L,NODE2172
114116.R,NODE2172
112819.R,NODE2172
130518.R,NODE2172
117930.L,NODE2172
581349.L,NODE2172
996782.L,NODE2172
415837.R,NODE2172
857263.R,NODE2172
922854.L,NODE2172
922854.R,NODE2172
183337.L,NODE2172
555348.L,NODE2172
555348.R,NODE2172
979984.R,NODE2172
256540.L,NODE2172
867468.R,NODE2172
211316.L,NODE2172
256540.R,NODE2172
117728.L,NODE2172
123723.L,NODE2172
179548.L,NODE2172
164939.L,NODE2172
192035.L,NODE2172
191033.L,NODE2172
459453.L,NODE2172
857263.L,NODE2172
148941.L,NODE2172
194140.L,NODE2172
173637.R,NODE2172
187143.R,NODE2172
173435.L,NODE2172
987074.L,NODE2172
199958.L,NODE2172
123723.R,NODE2172
199352.R,NODE2172
161327.L,NODE2172
227432.L,NODE2172
135124.R,NODE2172
463040.R,NODE2172
180937.R,NODE2172
349244.R,NODE2172
172635.L,NODE2172
644246.L,NODE2172
970764.L,NODE2172
311320.L,NODE2172
148941.R,NODE2172
178142.L,NODE2172
199453.L,NODE2172
867468.L,NODE2172
873968.L,NODE2172
486759.L,NODE2172
804646.L,NODE2172
912447.L,NODE2172
628248.L,NODE2172
119833.L,NODE2172
173132.L,NODE2172
627852.L,NODE2172
679770.L,NODE2172
209228.L,NODE2172
765864.L,NODE2172
150019.L,NODE2172
172029.L,NODE2172
728454.L,NODE2172
200210.L,NODE2172
134223.L,NODE2172
654754.L,NODE2172
121618.L,NODE2172
123521.L,NODE2172
186949.L,NODE2173
751348.L,NODE2173
208226.L,NODE2173
209329.L,NODE2173
250427.L,NODE2173
877168.L,NODE2173
204016.R,NODE2173
257946.R,NODE2173
187547.L,NODE2173
349244.L,NODE2173
105620.R,NODE2173
175540.R,NODE2173
303119.L,NODE2173
809252.L,NODE2173
392447.L,NODE2173
715041.L,NODE2173
616645.L,NODE2173
983773.L,NODE2173
149539.L,NODE2173
803240.L,NODE2173
907656.L,NODE2173
346137.R,NODE2173
190132.L,NODE2173
190132.R,NODE2173
130518.L,NODE2173
113215.L,NODE2173
826353.L,NODE2173
185442.L,NODE2173
147030.L,NODE2173
516742.L,NODE2173
131722.L,NODE2173
121719.R,NODE2173
114419.L,NODE2173
206222.L,NODE2173
142424.L,NODE2173
158136.L,NODE2173
769064.L,NODE2173
784565.L,NODE2173
902242.L,NODE2173
499566.R,NODE2173
146129.L,NODE2173
164030.R,NODE2173
198451.L,NODE2173
285345.L,NODE2173
138130.L,NODE2173
561444.R,NODE2173
131924.L,NODE2173
368551.L,NODE2173
208428.L,NODE2173
161630.R,NODE2173
898176.L,NODE2173
300618.R,NODE2173
113619.L,NODE2173
147737.L,NODE2173
165840.L,NODE2173
111716.R,NODE2173
130821.R,NODE2173
150524.L,NODE2173
114116.L,NODE2173
760551.L,NODE2173
221319.L,NODE2173
104820.R,NODE2173
891667.R,NODE2173
204420.L,NODE2173
204420.R,NODE2173
485757.L,NODE2173
541943.L,NODE2173
822244.L,NODE2173
124422.R,NODE2173
124422.L,NODE2173
127731.L,NODE2173
297655.R,NODE2173
181636.R,NODE2173
581349.R,NODE2173
180735.L,NODE2173
130922.R,NODE2173
128127.L,NODE2173
165941.L,NODE2173
203721.L,NODE2173
828862.L,NODE2173
168341.R,NODE2173
167440.L,NODE2173
891667.L,NODE2173
200917.R,NODE2173
523032.R,NODE2173
114924.R,NODE2173
122822.R,NODE2173
194746.R,NODE2173
901038.R,NODE2173
214524.L,NODE2173
137027.R,NODE2173
162935.L,NODE2173
283543.L,NODE2173
105014.L,NODE2173
833148.L,NODE2173
107422.R,NODE2173
178748.R,NODE2173
100408.R,NODE2173
112112.R,NODE2173
987983.R,NODE2173
121416.L,NODE2173
176239.L,NODE2173
140925.L,NODE2173
180735.R,NODE2173
206828.R,NODE2173
248238.R,NODE2173
952863.R,NODE2173
737960.R,NODE2173
113821.R,NODE2173
177746.R,NODE2173
687163.R,NODE2173
125222.L,NODE2173
611231.R,NODE2173
329440.R,NODE2173
151021.R,NODE2173
129129.R,NODE2173
140319.R,NODE2173
510326.R,NODE2173
786569.R,NODE2173
213522.L,NODE2173
205119.R,NODE2173
715041.R,NODE2173
365343.R,NODE2173
392447.R,NODE2173
163432.R,NODE2173
194140.R,NODE2173
129331.R,NODE2173
802844.R,NODE2173
707749.L,NODE2173
872764.R,NODE2173
172534.R,NODE2173
339847.R,NODE2173
957974.R,NODE2173
152427.R,NODE2173
280941.R,NODE2173
154229.R,NODE2173
531940.R,NODE2173
167036.R,NODE2173
432332.R,NODE2173
127630.R,NODE2173
128127.R,NODE2173
459453.R,NODE2173
129028.L,NODE2173
130013.L,NODE2173
151930.L,NODE2173
573249.L,NODE2173
154734.L,NODE2173
195950.L,NODE2173
103414.L,NODE2173
350330.L,NODE2173
168139.L,NODE2174
169949.L,NODE2174
134627.L,NODE2174
673455.L,NODE2174
214625.R,NODE2174
673455.R,NODE2174
187143.L,NODE2174
206525.L,NODE2174
299760.L,NODE2174
583858.L,NODE2174
693764.L,NODE2174
132017.L,NODE2174
865363.L,NODE2174
122620.L,NODE2174
140824.L,NODE2174
114823.L,NODE2174
753251.L,NODE2174
100610.L,NODE2174
727654.L,NODE2174
227533.L,NODE2174
